"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-May-2021","24-Jun-2021","CE","35000","1394.65","1459.5","1132","1213.55","1224.5","1213.55","18138","164479.84","5772.34","283425","39000","35141.45"
"BANKNIFTY","31-May-2021","24-Jun-2021","CE","35000","1197.95","1339","1021.6","1308.3","1281.95","1308.3","14456","130864.56","4374.56","245275","-38150","-"
"BANKNIFTY","01-Jun-2021","24-Jun-2021","CE","35000","1291.9","1398","1112.3","1155.05","1163","1155.05","15231","137967.95","4696.7","345025","99750","-"
"BANKNIFTY","02-Jun-2021","24-Jun-2021","CE","35000","1099.3","1145.7","982.5","1128.05","1122","1128.05","12258","110507.46","3249.96","342375","-2650","-"
"BANKNIFTY","03-Jun-2021","24-Jun-2021","CE","35000","1163.2","1342.5","1111.7","1265.45","1270","1265.45","7511","68025.76","2304.51","307825","-34550","-"
"BANKNIFTY","04-Jun-2021","24-Jun-2021","CE","35000","1238.9","1385","977.45","1051.25","1052","1051.25","10587","95554.53","2918.28","299950","-7875","-"
"BANKNIFTY","07-Jun-2021","24-Jun-2021","CE","35000","1052","1141.75","1003.1","1077.05","1060","1077.05","9205","83036.74","2492.99","284450","-15500","-"
"BANKNIFTY","08-Jun-2021","24-Jun-2021","CE","35000","1007.1","1007.1","739.8","795.65","802","795.65","23774","212875.78","4853.28","382775","98325","-"
"BANKNIFTY","09-Jun-2021","24-Jun-2021","CE","35000","779.35","952","550.15","602.5","597","602.5","41634","371727.95","7430.45","409625","26850","-"
"BANKNIFTY","10-Jun-2021","24-Jun-2021","CE","35000","630.75","790","538","755.3","760","755.3","41419","369211.94","6795.69","430900","21275","-"
"BANKNIFTY","11-Jun-2021","24-Jun-2021","CE","35000","821.65","841.65","591.15","656","644.4","656","31888","284576.93","5556.93","473175","42275","-"
"BANKNIFTY","14-Jun-2021","24-Jun-2021","CE","35000","574.7","579.2","346.75","541.15","533","541.15","64995","576394.77","7688.52","529525","56350","-"
"BANKNIFTY","15-Jun-2021","24-Jun-2021","CE","35000","544.95","729.65","486.25","657.9","640","657.9","47446","422912.54","7760.04","441350","-88175","-"
"BANKNIFTY","16-Jun-2021","24-Jun-2021","CE","35000","599.35","743","490.45","519.3","522","519.3","70850","630150.15","10212.65","614650","173300","35003.5"
"BANKNIFTY","17-Jun-2021","24-Jun-2021","CE","35000","340","431.9","227.95","264.6","228","264.6","190853","1685019.17","15055.42","1067650","453000","-"
"BANKNIFTY","18-Jun-2021","24-Jun-2021","CE","35000","265.65","310","112.25","179.45","196.75","179.45","1009346","8876524.53","44747.03","1224075","156425","34558"
"BANKNIFTY","21-Jun-2021","24-Jun-2021","CE","35000","99","260","45.3","243.8","260","243.8","1137551","9997000.03","43428.78","1284450","60375","-"
"BANKNIFTY","22-Jun-2021","24-Jun-2021","CE","35000","310","416.2","125","151.65","125","151.65","1799257","15866227.22","122728.47","2142925","858475","-"
"BANKNIFTY","23-Jun-2021","24-Jun-2021","CE","35000","199","202.75","38.35","46.8","44.5","46.8","2043818","17940134.59","56727.09","2707325","564400","34574"
"BANKNIFTY","24-Jun-2021","24-Jun-2021","CE","35000","50","70","0.05","1.8","0.05","34827","4762191","41705504.08","36332.83","1541975","-1165350","34827"
