"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","28-May-2021","24-Jun-2021","CE","36000","849.95","924.5","665.6","730.8","743.3","730.8","26704","245464.26","5128.26","320700","116225","35141.45"
"BANKNIFTY","31-May-2021","24-Jun-2021","CE","36000","693.9","790","598.1","772.95","752.05","772.95","19525","179242.57","3517.57","331150","10450","-"
"BANKNIFTY","01-Jun-2021","24-Jun-2021","CE","36000","782","832","633.35","660.65","661","660.65","31536","289503.11","5679.11","313700","-17450","-"
"BANKNIFTY","02-Jun-2021","24-Jun-2021","CE","36000","575.5","625.95","533.85","612.7","606.85","612.7","19060","174293.32","2753.32","324475","10775","-"
"BANKNIFTY","03-Jun-2021","24-Jun-2021","CE","36000","659.05","753.9","596.5","698.4","696","698.4","24549","225062.12","4121.12","328425","3950","-"
"BANKNIFTY","04-Jun-2021","24-Jun-2021","CE","36000","677.1","782.25","504","549.15","558","549.15","37783","345895.55","5848.55","374900","46475","-"
"BANKNIFTY","07-Jun-2021","24-Jun-2021","CE","36000","563","582","494.6","537.05","522.35","537.05","17465","159540.34","2355.34","383175","8275","-"
"BANKNIFTY","08-Jun-2021","24-Jun-2021","CE","36000","501.95","501.95","322","349.15","351","349.15","22559","205103.62","2072.62","380075","-3100","-"
"BANKNIFTY","09-Jun-2021","24-Jun-2021","CE","36000","330.7","429","219.05","234.7","240","234.7","39355","357170.8","2975.8","389125","9050","-"
"BANKNIFTY","10-Jun-2021","24-Jun-2021","CE","36000","218.95","324","200","306.15","309.45","306.15","28005","253870.63","1825.63","435375","46250","-"
"BANKNIFTY","11-Jun-2021","24-Jun-2021","CE","36000","352.7","357.5","224.1","242.95","237","242.95","35599","322855.72","2464.72","515650","80275","-"
"BANKNIFTY","14-Jun-2021","24-Jun-2021","CE","36000","192.6","192.6","117.7","172.55","173.9","172.55","60911","550535.09","2336.09","539375","23725","-"
"BANKNIFTY","15-Jun-2021","24-Jun-2021","CE","36000","176.35","244.85","152","203.7","198.2","203.7","59784","541228.46","3172.46","600725","61350","-"
"BANKNIFTY","16-Jun-2021","24-Jun-2021","CE","36000","177.25","242.3","138.25","145.05","148.35","145.05","82093","742427.45","3590.45","710150","109425","35003.5"
"BANKNIFTY","17-Jun-2021","24-Jun-2021","CE","36000","86.95","102.7","45","55.9","45","55.9","163329","1473009.04","3048.04","894375","184225","-"
"BANKNIFTY","18-Jun-2021","24-Jun-2021","CE","36000","57.3","60.7","27.15","32.05","32.1","32.05","467037","4207861.65","4528.65","1204100","309725","34558"
"BANKNIFTY","21-Jun-2021","24-Jun-2021","CE","36000","28","31.8","12.55","25.65","27","25.65","512564","4615923.71","2847.71","1234275","30175","-"
"BANKNIFTY","22-Jun-2021","24-Jun-2021","CE","36000","64.05","64.05","12.6","14.7","14.35","14.7","699639","6301936.01","5185.01","1261900","27625","-"
"BANKNIFTY","23-Jun-2021","24-Jun-2021","CE","36000","19.9","21.25","7.2","8.1","7.6","8.1","586115","5276873.6","1838.6","1395425","133525","34574"
"BANKNIFTY","24-Jun-2021","24-Jun-2021","CE","36000","4.4","6.55","0.05","0.25","0.05","34827","561285","5051886.28","321.28","1071450","-323975","34827"
